code,name,price
4 W095,CAPACITOR MICROONDAS  0.95,7145.45
4 W100,CAPACITOR MICROONDAS  1.00,7145.45
4 W110,CAPACITOR MICROONDAS  1.10,7145.45
1 7R4,CAPACITOR MODELO: CBB60 10UF MARCA: ROMA-TECH,2023.14
1 7R2,CAPACITOR MODELO: CBB60 12.5UF MARCA: ROMA-TECH,2081.82
1 7R5,CAPACITOR MODELO: CBB60 14UF MARCA: ROMA-TECH,2209.92
1 7R1,CAPACITOR MODELO: CBB60 16UF MARCA: ROMA-TECH,2467.77
1 7R8,CAPACITOR MODELO: CBB60 18UF MARCA: ROMA-TECH,2841.32
1 7R9,CAPACITOR MODELO: CBB60 20UF MARCA: ROMA-TECH,3215.7
1 7R10,CAPACITOR MODELO: CBB60 22UF MARCA: ROMA-TECH,3344.63
1 7R6,CAPACITOR MODELO: CBB60 5UF MARCA: ROMA-TECH,1766.12
1 7R7,CAPACITOR MODELO: CBB60 6UF MARCA: ROMA-TECH,1766.12
1 7R3,CAPACITOR MODELO: CBB60 8UF MARCA: ROMA-TECH,1952.89
3 2R26,CBB60 25UF MARCA ROMA-TECH,4607.44
3 2R22,CBB60 40UF MARCA ROMA-TECH,5742.15
3 2R23,CBB60 45UF MARCA ROMA-TECH,6092.56
3 2R24,CBB60 50UF MARCA ROMA-TECH,6619.01
3 2R25,CBB60 60UF MARCA ROMA-TECH,7098.35
3 2RD1,CBB65 25 + 1.5 UF MARCA ROMA-TECH,6957.85
3 2RD4,CBB65 35 + 4 UF MARCA ROMA-TECH,8817.36
3 2RD5,CBB65 45 + 5 UF MARCA ROMA-TECH,9472.73
3 2RD6,CBB65 60 + 6 UF MARCA ROMA-TECH,10793.39
2 PEL12703,CELDA PELTIER TEC1-12703 40X40 CABLE 30CM,9604.52
2 PEL12704,CELDA PELTIER TEC1-12704 40X40 CABLE 30CM,9988.24
2 PEL12705,CELDA PELTIER TEC1-12705 40X40 CABLE 30CM,10244.34
2 PEL12705 5X5,CELDA PELTIER TEC1-12705 50X50 CABLE 30CM,18568.33
2 PEL12706,CELDA PELTIER TEC1-12706 40X40 CABLE 30CM,9604.52
2 PEL12707,CELDA PELTIER TEC1-12707 40X40 CABLE 30CM,10885.07
2 PEL12708,CELDA PELTIER TEC1-12708 40X40 CABLE 30CM,11141.18
1 19L1,CENTRO DE MOTOR MODELO: 618448 P/ LG,17120.66
1 AL2114,CINTA DE FRENO CONSUL 680,11928.1
6 1H18,CINTA REFRIG SIN PEGAMENTO 25M X 7CM BLANCA,1637.19
1 17S2,CODO  MODELO: 355A  P/SAMSUNG SALIDA FRONTAL,4244.63
1 17L1,CODO ENTRADA MODELO:2002A P/LG,10045.45
1 17L3,CODO SALIDA DE CUBA A BOMBA 225MM MANGON MODELO: OME1 P/LG,7788.43
1 17L2,CODO SALIDA MODELO: 2003A  P/LG,10045.45
1 17S1,CODO SALIDA MODELO: 335A  P/SAMSUNG,7788.43
2 49,COMBISTATO ECS-974T  (POR WIFI),45139.67
2 47,COMBISTATO MODELO: ETC-200+,33913.22
2 48,COMBISTATO MODELO: STC-9200,39760.33
1 27S1,CONTRAPESO DERECHO P/ SAMSUNG,43268.6
1 27S2,CONTRAPESO IZQUIERDO P/ SAMSUNG,43268.6
1 27S3,CONTRAPESO SAMSUNG DERECHO WW95,35082.64
3 61,CONTROL PARA A/A MODELO: KT9018E 5000-1 MARCA: ROMATECH,5378.28
1 20PJ1169,CORREA BGH 8 KG,5847.11
1 20PH1965,CORREA DR PH70,8185.95
1 20EPJ1076,CORREA ELASTICA CHINA POLI V 4EPJ1076 LAVARROPAS PHILIPS WH,6128.1
1 20PJ1133,CORREA ELASTICA CHINA POLI V 4EPJ1133 LAVAROPAS DREAM GOLD - CANDY,5730.58
1 20PJ1181,CORREA ELASTICA CHINA POLI V 4EPJ1181 DREAM 166 - WH - ESL. LUJO,5847.11
1 20PJ1217,CORREA ELASTICA CHINA POLI V 4EPJ1217 LAVARROPAS ELECTROLUX EW500 - CANDY,6689.26
1 20EPJ1265,CORREA ELASTICA CHINA POLI V 4EPJ1265 LAVARROPAS ELECTROLUX GAFA MABE,5905.79
1 20PH1975,CORREA ELASTICA CHINA POLI V 5EPH1975 SECARROPAS ELECTROLUX EDE-WH,11869.42
1 20EPJ1172,CORREA ELASTICA CHINA POLI V 5EPJ1172 DREAM BLUE,5964.46
1 20PJ1184,CORREA ELASTICA CHINA POLI V 5EPJ1184 LAVARROPAS DREAM NEXT - ARISTON,5905.79
1 20EPJ1281,CORREA ELASTICA CHINA POLI V 5EPJ1281 LAVARROPAS PATRICK MIDEA,5905.79
1 20PJ1287,CORREA ELASTICA CHINA POLI V 5EPJ1287 DREAM FAMILY - AURORA,8197.52
1 20PJ1313,CORREA ELASTICA CHINA POLI V 5EPJ1313 WH VS MODELOS,7075.21
1 20EPH1228,CORREA ELASTICA CHINA POLI V 6EPH1228 ELECTROLUX EWT600/800/1000,7075.21
1 20PH1230,CORREA ELASTICA CHINA POLI V 7EPH1230 LAVARROPAS CANDY,9472.73
1 20PH1270,CORREA ELASTICA CHINA POLI V 7EPH1270 CODINI CF90 / CF90W,9051.24
1 20PH1904,CORREA ELASTICA CHINA POLI V 7EPH1904 SECARROPAS COVENTRI CDA82-SURRAY,11694.21
1 20EPH1965,CORREA ELASTICA CHINA POLI V 7EPH1965 SECARROPAS WH AWZ120/AWL200,14793.39
1 20EPH1212,CORREA ELASTICA CHINA POLI V 8EPH1212 DREAM NEXT -BLUE - AURORA,8478.51
1 20EPH1231,CORREA ELASTICA CHINA POLI V 8EPH1231 LONGVIE L6110/6108,9472.73
1 20PH1991,CORREA ELASTICA CHINA POLI V 8EPH1991 SECARROPAS CALOR GAFA,12980.99
1 20EPJ1270,CORREA ELASTICA PHLF060B,7016.53
1 20EPJ1161,CORREA ELASTICA SIAM LSI LF8014B12INV,5847.11
1 20PJE1274,CORREA ELASTICA SIAM LSI-IVF100B,7016.53
1 20M1,CORREA PARA LAVARROPAS MODELO: M20,1871.07
1 20M2,CORREA PARA LAVARROPAS MODELO: M21,1871.07
1 20M3,CORREA PARA LAVARROPAS MODELO: M22,1871.07
1 20H1172,CORREA POLI V 1172 J5  DREAM BLUE,10524.79
1 20H1173,CORREA POLI V 1173 J5 DREAM BLUE,10524.79
1 20H1181,CORREA POLI V 1181JMA4 HUTCHINSON - DREAM - DREAM 166 - WH - ESL. LUJO,5379.34
1 20H1184,CORREA POLI V 1184JMA5 HUTCHINSON - DREAM - DREAM BLUE,9940.5
1 20H1200,CORREA POLI V 1200HMA8 HUTCHINSON - DREAM - DREAM BLUE  DESP.IMP.: 22001IC04090033G,5671.9
1 20H1233,CORREA POLI V 1233 J5 LOGVIE - CANDY,10524.79
1 20H1238,CORREA POLI V 1238JMA5 HUTCHINSON - DREAM - WHIRLPOOL,5262.81
1 20H1253,CORREA POLI V 1253JMA5 HUTCHINSON - BOSCH - WHIRLPOOL,6198.35
1 20H1265,CORREA POLI V 1265 J4 ELECTROLUX - GAFA - PATRICK - MABE,9355.37
1 20H1965,CORREA POLI V 1965JMA HUTCHINSON -,3508.26
1 20H556,CORREA POLI V 556JMA HUTCHINSON - WWI,3508.26
6 1H2,CORTADORA DE CAÑO CT274,9355.37
6 1H1,CORTADORA DE CAÑO MINI WK128,4502.48
1 13S2,COVER MANIJA SAMSUNG WW9015410,4677.69
1 23L1,CUBA MODELO: 550PT P/LG,122204.96
4 22,DIODO COD: 048,2829.75
6 1H7,DOBLADORA DE CAÑO 180º CT369,10618.18
1 4B2,EJE BGH  9KG,32743.8
1 4B3,EJE BGH 10 KILOS,40929.75
1 4B1,EJE BGH BWFI8S 18,32743.8
1 4L4,EJE MODELO LG 2 TORNILLOS,64318.18
1 4S3,EJE MODELO: 15185A P/ SAMSUNG F1904,46695.04
1 4L1,EJE MODELO: 1601 P/ LG 1422 Y OTROS,58120.66
1 4S2,EJE MODELO: 184A P/SAMSUNG F8650,42450.41
1 4L2,EJE MODELO: 2001 P/ LG F1000/1205/1022/ ETC,50519.01
1 4S5,EJE MODELO: 370E P/SAMSUNG INVERTER,49524.79
1 4S4,EJE MODELO: 963B P/ SAMSUNG F1702,42450.41
1 4S1,EJE MODELO: DC97 15182A P/ SAMSUNG,38204.96
1 4P2,EJE PH PHLF060B/061A,23388.43
1 4P1,EJE PHILCO PHLF6510B,28066.12
1 4S6,EJE SAMSUNG Wf1124/Wd22t6,52623.97
1 4SM1,EJE SIAM LSI LF8014B12INV,40929.75
1 4SM2,EJE SIAM/ATMA,40929.75
6 1H15,ESCAREADOR SACA REBARBA  CT208,5519.83
2 11FC052S,FILTRO 052S P/SOLDAR,6817.36
2 11FM10,FILTRO 10G CON CHICOTE,2443.8
2 11FMC10,FILTRO 10G CORTO,1800.83
2 11FM15,FILTRO 15G CON CHICOTE DESP. IMP.:,2642.98
2 11FMC15,FILTRO 15G CORTO,2057.85
2 11FM20,FILTRO 20G CON CHICOTE,3087.6
2 11FMC20,FILTRO 20G CORTO,2514.05
2 11FM30,FILTRO 30G CON CHICOTE,3800.83
2 11FMC30,FILTRO 30G CORTO,3087.6
1 21L3,FILTRO PARA BOMBA MODELO 7201 LG CARGA FRONTAL,4958.68
1 12L1,Filtro Para Lavarropas (Redondo)  Modelo: HE204,5847.11
1 12E1,Filtro Para Lavarropas ELECTROLUX ELEC 9/10,5660.33
1 12L2,Filtro Para Lavarropas LG  (pelusa) Modelo: HE103,3391.74
1 12P1,Filtro Para Lavarropas PHILCO (18.7X6.2 / INT 5.8)  Modelo: HE217,4958.68
1 12S1,Filtro Para Lavarropas SAMSUNG MAGIC (19.5 X 6.4 INT 5.4)  Modelo: HE200,4525.62
1 12S2,Filtro Para Lavarropas SAMSUNG SILVER (23 X 8) Modelo: HE208,4525.62
1 12L3,"FILTRO PELUSA LAVARROPAS LG WT 11 10,5 KG",6432.23
2 8FC10,FORZADOR COMERCIAL  MOD:10-20 MARCA: ROMATECH,17073.55
2 8FC16,FORZADOR COMERCIAL MOD: 16-25 MARCA: ROMATECH,21224.79
2 8FC5,FORZADOR COMERCIAL MOD: 5-13 MARCA: ROMATECH,14921.49
2 FCR6W,FORZADOR COMERCIAL REDONDO 6W,37421.49
1 11L2,FUELLE LAVASECA LG F1103RDT/1103RDP,38204.96
1 11B2,FUELLE MODELO  BGH 8 KILOS,36252.07
1 11L1,FUELLE MODELO 1003A P/LG F1215/1210/1000/1022/1222/1010,29586.78
1 11S1,FUELLE MODELO 1602A P/SAMSUNG WF1702/1904/1804/8650,37071.07
1 11S2,FUELLE MODELO 1664A P/SAMSUNG WF1702/1904/1804/8650,37071.07
1 11S6,FUELLE MODELO 198A P/SAMSUNG P MODELOS: WW70/WW90,38485.95
1 11S7,FUELLE MODELO LAVASECA SAMSUNG WD18J7825KP,50285.12
1 11SM4,FUELLE MODELO PHILCO PHLF080B/B03/04 PHLF081B  SIAM LSI-LVS080B ZENITH ZEN 080B/04,30404.96
1 11SM3,FUELLE MODELO PHILCO PHLF6510P2/B2/B SIAM LSI-LF6510B2 HISENSE WFMB6510WV/SV/W,33913.22
1 11SM2,FUELLE MODELO PHLF071B/062B2/060B/062B/070B/071B  SIAM LSI-LVF070B,28066.12
1 11SM1,FUELLE MODELO SIAM LSI LF8014B12INV,29235.54
1 11S3,FUELLE MODELO: 1827A P/SAMSUNG LAVASECA MOD WD106,37503.31
1 11S5,FUELLE MODELO: 235A WD6000 P/SAMSUNG LAVASECA MOD WD90/WV90,41748.76
2 2R2,FUSIBLE TERMICO BOSCH KDN,7893.39
ION 40,IONIZADOR 40.000 LITROS MARCA ECOTECH,100000.0
1 JBYD,JARRA LICUADORA B&D VIDRIO GA BL-D05,15202.48
1 JOC,"JARRA OSTER CUADRADA CON TAPA, CUCHILLA Y BASE",23388.43
1 JOR,"JARRA OSTER REDONDA CON TAPA, CUCHILLA Y BASE",23388.43
1 16P2,JUEGO DE 4 AMORTIGUADORES 54.5CM P/PH708,28300.0
1 16L2,JUEGO DE 4 AMORTIGUADORES 58.5CM P/ LG,33258.68
1 16P1,JUEGO DE 4 AMORTIGUADORES 59CM P/ PH13,34673.55
1 16E1,JUEGO DE 4 AMORTIGUADORES 61.9CM P/ELECTROLUX ELAC9,31574.38
1 16L3,JUEGO DE 4 AMORTIGUADORES 64.5CM P/ LG,36088.43
1 16E2,JUEGO DE 4 AMORTIGUADORES 64.9CM P/ELECTROLUX ELAC10,31574.38
1 AL2112,JUEGO DE EMBRAGUE CONSUL 680,7016.53
5 2MAN8,JUEGO DE MANGUERA 500-2500 PSI GAS 22 134 404 417,12863.64
5 2MAN9,JUEGO DE MANGUERA 800-4000 PSI GAS R410,16371.9
3 1R2,KIT 10K (1SENSOR AMBIENTE+1SENSOR SERPENTINA),4466.94
3 1R3,KIT 15K (1SENSOR AMBIENTE+1SENSOR SERPENTINA),4970.25
3 1R4,KIT 20K (1SENSOR AMBIENTE+1SENSOR SERPENTINA),5262.81
3 1R1,KIT 5K (1SENSOR AMBIENTE+1SENSOR SERPENTINA),4466.94
3 84,KIT PORTATIL ACCESORIO VENTANA A/A PORTATIL. CORRUGADO+ ADAPTADOR VENTANA HASTA 1.5M,56132.23
4 L1,LAMPARA+ZOCALO 2A 250V MICROONDAS,3859.5
6 1H14,LLAVE CRIQUET CT122,5776.86
4 W2,Magnetron Mod: 2M218H,22219.01
4 W1,Magnetron Mod: 2M218J,22219.01
4 W5,Magnetron Mod: 2M219H,22219.01
4 W4,Magnetron Mod: 2M219J,22219.01
4 W3,Magnetron Mod: 2M219K,22219.01
5 2MAN5,MANIFOLD ALUMINIO 800-4000 PSI,72504.13
5 2MAN6,MANIFOLD BRONCE 500-2500 PSI,39877.69
1 13L2,MANIJA TIRADOR MODELO EN3005 (CHICA)P/LG 17SZ P/F-1280/81,3391.74
1 13L1,MANIJA TIRADOR MODELO:1201 P/LG 090SZP/F1205/1290/WD144820,4806.61
1 13S1,MANIJA TIRADOR SAMSUNG 1524A MODELO,2829.75
5 2MAN4,MANOMETRO INDIVIDUAL AZUL,10150.41
5 2MAN3,MANOMETRO INDIVIDUAL ROJO,10150.41
1 14L2,MARCO EXTERIOR PLATEADO MODELO: EN1004 P/ LG,22920.66
1 14L1,MARCO INTERIOR PLASTICO MODELO EN1003 P/LG,16278.51
1 AL2136,MECANISMO COMPATIBLE WW11-AB W11299805,41514.88
4-24,MICA MICROONDAS 40X50,3508.26
1 15P1,MOD. HG - VALVULA PH 2 VIAS,12220.66
1 22S1,MODELO 2001 RETEN 35X65.55X10/12  P/1702/1904/8650,1871.07
2 41,MODELO A2000,4970.25
1 4L3,MODELO LG EJE CORTO  ETC,38590.91
1 6G1,MODELO16016A P/GAFA7500/ELECTROLUX,42450.41
2 7FF4,MOTOR FORZ. FAM. MOD:1000K MIDEA-SIAM-ATMA 12V 2450RPM,25470.25
2 7FF7,MOTOR FORZADOR FAMILIAR MOD: PHILCO PHNT456BF,29235.54
