Unnamed: 0,Категория товара,Наименование,Ansal код,Ansal название,Цена Ansal Оптовая,Цена Ansal Розничная,Reld код,Reld название,Цена Reld Оптовая,Цена Reld Розничная,Bellini код,Bellini название,Цена Bellini Оптовая,Цена Bellini Розничная,Uriarte код,Uriarte название,Цена Uriarte Оптовая,Цена Uriarte Розничная,Fijamom код ,Fijamom название,Fijamom Цена Fijamom Оптовая,Цена Fijamom Розничная
,**УБЛ*,Blocapuerta ITALFLEX H1,NOT_FOUND,NONE,,,,,,,,,,,,,,,,,,
,*Предохранители*,Termoclupa L1000mm 8x1,NOT_FOUND,NONE,,,,,,,,,,,,,,,,,,
,*Шланги спиральные*,"Manguera cristal de Ø5/8"" rollo x 25m",NOT_FOUND,NONE,,,,,,,,,,,,,,,,,,
,*ERRECOM,Spray anticalor 1L ERRECOM PROTECT GEL,913623,Spray AntiCalor PROTECT GEL 1L-TR1141K01,,,,,,,,,,,,,,,,,,
,"*Вентили,переходники*","Valvula split Ø3/4"" R-410A",NOT_FOUND,NONE,,,,,,,,,,,,,,,,,,
,**ЗАПЧАСТИ для СВЧ,"Motor gira plato 21V 3,5/4W 4,5RPM",NOT_FOUND,NONE,,,,,,,,,,,,,,,,,,
,**УБЛ*,Blocapuerta METALFLEX ZV 445 T4,NOT_FOUND,NONE,,,,,,,,,,,,,,,,,,
,**Насосы*,Tobera bomba desagote Askoll 30W MABE PATRICK GE 6-9kg,NOT_FOUND,NONE,,,,,,,,,,,,,,,,,,
,**Амортизаторы*,Amortiguador 80N L175-305mm Ø11mm ELECTROLUX 500/5/6/7/10,NOT_FOUND,NONE,,,,,,,,,,,,,,,,,,
,*ERRECOM,Kit sellador ULTRA 4 aditivos RK142 ERRECOM,913681,Kit Sellador ULTRA-4 aditivos-RK1421----,,,,,,,,,,,,,,,,,,
,*ERRECOM,Set busca fugas universal 250ml ERRECOM BRILLIANT,NOT_FOUND,Detec.Fuga BRILLIANT HVAC 1x60-TR1068EJ9,,,,,,,,,,,,,,,,,,
,**Крестовины,Eje soporte SAMSUNG inverter WD-106,NOT_FOUND,NONE,,,,,,,,,,,,,,,,,,
,*Испарители*,Placa evaporadora estampada 400x300mm 2 canales,NOT_FOUND,NONE,,,,,,,,,,,,,,,,,,
,**Сальники бака*,"Reten 37x66x9,5/13,5 LG PATRICK",NOT_FOUND,NONE,,,,,,,,,,,,,,,,,,
,**ЗАПЧАСТИ для СВЧ,Cupla trebol larga h24mm,NOT_FOUND,NONE,,,,,,,,,,,,,,,,,,
,*З/Ч К ХОЛОД. ТЕХ.,Bimetal SKSD 7011 con fusible,NOT_FOUND,NONE,,,,,,,,,,,,,,,,,,
,*З/Ч К ХОЛОД. ТЕХ.,Bimetal SKSD 2008 -5/+12ºC NoFrost,NOT_FOUND,NONE,,,,,,,,,,,,,,,,,,
,*З/Ч К ХОЛОД. ТЕХ.,Bimetal SKSD 3015 -4/+13ºC NoFrost,NOT_FOUND,NONE,,,,,,,,,,,,,,,,,,
,"*Кнопки,выключатели*",Interruptor pava electrica AP965/ AP975/75B,NOT_FOUND,NONE,,,,,,,,,,,,,,,,,,
,"*Кнопки,выключатели*",Interruptor para cafetera 3 cont 15A,NOT_FOUND,NONE,,,,,,,,,,,,,,,,,,
,"*Кнопки,выключатели*",Interuptor radiador de aceite 6 cont 15A ,NOT_FOUND,NONE,,,,,,,,,,,,,,,,,,
,"*Кнопки,выключатели*",Interruptor cuadrado para heladera 2 cont 1A,NOT_FOUND,NONE,,,,,,,,,,,,,,,,,,
,**ЗАПЧАСТИ для СВЧ,Ruedas microondas Ø220mm anillo,NOT_FOUND,NONE,,,,,,,,,,,,,,,,,,
,**ЗАПЧАСТИ для СВЧ,Ruedas microondas Ø190mm anillo,NOT_FOUND,NONE,,,,,,,,,,,,,,,,,,
,**Ремни*,Correa fabricadora de pan L537mm ATMA/RECCO,NOT_FOUND,NONE,,,,,,,,,,,,,,,,,,
,БЫТОВАЯ ТЕХНИКА,Timer horno electrico 60min,NOT_FOUND,NONE,,,,,,,,,,,,,,,,,,
,**ТЕРМОПРЕДОХРАНИТЕЛИ,Fusible 142°C,NOT_FOUND,NONE,,,,,,,,,,,,,,,,,,
,**ТЕРМОПРЕДОХРАНИТЕЛИ,Fusible 150°C,NOT_FOUND,NONE,,,,,,,,,,,,,,,,,,
,**ТЕРМОПРЕДОХРАНИТЕЛИ,Fusible 172°C,NOT_FOUND,NONE,,,,,,,,,,,,,,,,,,
,**ТЕРМОПРЕДОХРАНИТЕЛИ,Fusible 180°C,NOT_FOUND,NONE,,,,,,,,,,,,,,,,,,
,**ТЕРМОПРЕДОХРАНИТЕЛИ,Fusible 185°C,NOT_FOUND,NONE,,,,,,,,,,,,,,,,,,
,**ТЕРМОПРЕДОХРАНИТЕЛИ,Fusible 192°C,NOT_FOUND,NONE,,,,,,,,,,,,,,,,,,
,**ТЕРМОПРЕДОХРАНИТЕЛИ,Fusible 216°C,NOT_FOUND,NONE,,,,,,,,,,,,,,,,,,
,**Термостаты*,Termostato 10A 120°C,957410,680610001,,,,,,,,,,,,,,,,,,
,**Термостаты*,Termostato 10A 95°C,907784,DB-TD-20,,,,,,,,,,,,,,,,,,
,**Термостаты*,Termostato 16A 150°C,946202,753012001,ER-QD072,,ER-QD072,,,,,,,,,,,,,,,
,**Термостаты*,Termostato 10A 80°C,957410,680610001,,,,,,,,,,,,,,,,,,
,**Термостаты*,Termostato 10A 85°C,946202,753012001,ER-QD072,,ER-QD072,,,,,,,,,,,,,,,
,**ЗАПЧАСТИ для пылесосов,Rinconero aspiradora PHILIPS Ø35mm,NOT_FOUND,NONE,,,,,,,,,,,,,,,,,,
,**ЗАПЧАСТИ для пылесосов,Rinconero aspiradora LILIANA-924 Ø32mm,NOT_FOUND,NONE,,,,,,,,,,,,,,,,,,
,**ЗАПЧАСТИ для пылесосов,Cepillo aspiradora con pedal y ruedas Ø35mm PHILIPS,NOT_FOUND,NONE,,,,,,,,,,,,,,,,,,
,**ЗАПЧАСТИ для пылесосов,Filtro esponja aspiradora SAMSUNG DJ97-01040A/B/C/D,NOT_FOUND,NONE,,,,,,,,,,,,,,,,,,
,"**Шланги заливные, сливные, аквастопы*","Manguera desagote 2,50m codo",NOT_FOUND,NONE,,,,,,,,,,,,,,,,,,
,**Сальники бака*,Reten 47x88x10/12 MABE 8kg,NOT_FOUND,NONE,,,,,,,,,,,,,,,,,,
,*З/Ч К СПЛИТ-СИСТЕМАМ,Forzador split exterior 36W YDK36-4C,NOT_FOUND,Forzador GALAXIA-GAFA MINIVISU-PALA-MCM-,,,,,,,,,,,,,,,,,,
,"Фитинги медные, гайки","Tapa cobre Ø7/8""",NOT_FOUND,NONE,,,,,,,,,,,,,,,,,,
,*З/Ч К СПЛИТ-СИСТЕМАМ,Taco mensula split 4 und,NOT_FOUND,NONE,,,,,,,,,,,,,,,,,,
,**Амортизаторы*,Amortiguador 125N L260mm broche,NOT_FOUND,NONE,,,,,,,,,,,,,,,,,,
,"*Кнопки,выключатели*",Micro interruptor universal,907691,Interruptor BlueStar SWITCH-1-----------,,,,,,,,,,,,,,,,,,
,**Ремни*,Correa 1190 J5 PJ,NOT_FOUND,NONE,,,,,,,,,,,,,,,,,,
,**Датчики уровны воды*,Presostato 3 contactos SAMSUNG DC00731A/carga sup,NOT_FOUND,NONE,,,,,,,,,,,,,,,,,,
,***Вентиляторы бытовые*,"Motor vastago 33,5mm Ø3mm 220V 1S-3210SNPSA",NOT_FOUND,NONE,,,,,,,,,,,,,,,,,,
,ХОЛОДИЛЬНАЯ ТЕХНИКА,Rollo cortina frigorifico 2x200mm,404221,Rollo cortina Cristal 20cmx2mmx50mts-MT-,,,,,,,,,,,,,,,,,,
,*Шланги заправочные*,Kit 3 mangueras 90cm R-12/22/134 GENERICA,NOT_FOUND,NONE,,,,,,,,,,,,,,,,,,
,*Шланги заправочные*,Kit 3 mangueras 150cm R12/22/134 GENERICA,NOT_FOUND,NONE,,,,,,,,,,,,,,,,,,
,*З/Ч К СПЛИТ-СИСТЕМАМ,Cobertor split 9/12/18 BTU 900x300mm Q532,NOT_FOUND,NONE,,,,,,,,,,,,,,,,,,
,*VALUE,"Cortadora Ø1/4""- 1/8"" VALUE VTC-32C",940715,"Cortadora ""VALUE""  VTC-32C - 1/8 a 1.1/4",V-VTC32,,V-VTC32,,,,,,,,,,,,,,,
,*Шланги заправочные*,Kit 3 mangueras 150cm 2500PSI R-22 LT,NOT_FOUND,NONE,,,,,,,,,,,,,,,,,,
,*Пульты*,Control remoto universal KT-E08,NOT_FOUND,NONE,CR-E08,,CR-E08,,,,,,,,,,,,,,,
,*З/Ч К ХОЛОД. ТЕХ.,Cupla trebol corta,NOT_FOUND,NONE,,,,,,,,,,,,,,,,,,
,**Ручки люка*,Tirador puerta SAMSUNG DC64-02852A Inverter,NOT_FOUND,NONE,,,,,,,,,,,,,,,,,,
,"Фитинги медные, гайки",Tuerca ciega bronce Ø 1/2,NOT_FOUND,NONE,,,,,,,,,,,,,,,,,,
,"Фитинги медные, гайки","Tuerca ciega bronce Ø1/4""FH",853078,Tuerca Bronce 1/4 92004-000040 (TA8-32),,,,,,,,,,,,,,,,,,
,"Фитинги медные, гайки","Tuerca ciega bronce Ø  3/8""FH",853076,Tuerca Bronce 3/8 92004-000042 (TA8-32),,,,,,,,,,,,,,,,,,
,"Фитинги медные, гайки","Tuerca ciega bronce Ø5/8""FH",NOT_FOUND,NONE,,,,,,,,,,,,,,,,,,
,"Фитинги медные, гайки","Tuerca ciega bronce Ø  3/4""FH",NOT_FOUND,NONE,,,,,,,,,,,,,,,,,,
,**Ручки люка*,Manija tirador 1201 LG 090SZP/F1205/1290/WD144820 grande,NOT_FOUND,Manija 2294 Exterior pta. Superpuesta,,,,,,,,,,,,,,,,,,
,**ЗАПЧАСТИ для пылесосов,Interruptor 4 cont lavavajillas y aspiradora,NOT_FOUND,NONE,,,,,,,,,,,,,,,,,,
,СТИРАЛЬНЫЕ МАШИНЫ,Sensor hall SAMSUNG DC31-00076A,NOT_FOUND,NONE,,,,,,,,,,,,,,,,,,
,"**ЗАПЧАСТИ для духовок, электроплит",Termoclupa L 900mm 8x1 SEEGER,NOT_FOUND,NONE,,,,,,,,,,,,,,,,,,
,"**ЗАПЧАСТИ для духовок, электроплит",Termoclupa L1200mm 8x1,NOT_FOUND,NONE,,,,,,,,,,,,,,,,,,
,**ЗАПЧАСТИ для Радиаторов,Termostato radiador de aceite,NOT_FOUND,NONE,,,,,,,,,,,,,,,,,,
, Направление  СБТ,Puntera aspiradora acodada  Ø35mm,NOT_FOUND,NONE,,,,,,,,,,,,,,,,,,
,*Горелки*,Garrafa MAP-Pro 400gr ICELONG China,920810,Garrafa descartable MAP PRO -400gr------,,,,,,,,,,,,,,,,,,
,"*Вентили,переходники*","Valvula bola Ø1/4""FM x 1/4""FH ST-VC2",NOT_FOUND,NONE,,,,,,,,,,,,,,,,,,
,*АВТОКОНДИЦИОНИРОВАНИЕ,Valvula pinche 3 tornillos GGT-341C,946110,900622001,GGT-341C,,GGT-341C,,,,,,,,,,,,,,,
,**УБЛ*,Blocapuerta ZV 446 H1,NOT_FOUND,NONE,,,,,,,,,,,,,,,,,,
,"Фитинги медные, гайки","Trampa succion de liquido Ø5/8""",NOT_FOUND,NONE,,,,,,,,,,,,,,,,,,
,"Фитинги медные, гайки","Union cobre reduccion Ø3/4"" x 5/8""",NOT_FOUND,NONE,,,,,,,,,,,,,,,,,,
,"Фитинги медные, гайки","Curva de cobre 45° Ø1 1/8""",NOT_FOUND,NONE,,,,,,,,,,,,,,,,,,
,"Фитинги медные, гайки","Curva de cobre 45° Ø3/4""",NOT_FOUND,NONE,,,,,,,,,,,,,,,,,,
,"Фитинги медные, гайки",Curva de cobre 45° Ø7/8,NOT_FOUND,NONE,,,,,,,,,,,,,,,,,,
,"*Вентили,переходники*","Union bronce rosca/soldadura 1/2""",NOT_FOUND,NONE,,,,,,,,,,,,,,,,,,
,"*Вентили,переходники*",Union bronce rosca/soldadura 1/4,NOT_FOUND,Union 1/4GMx1/4GM---de bronce------00369,,,,,,,,,,,,,,,,,,
,"*Вентили,переходники*",Union bronce rosca/soldadura 3/8,NOT_FOUND,NONE,,,,,,,,,,,,,,,,,,
,"*Вентили,переходники*",Union bronce rosca/soldadura 5/8,NOT_FOUND,NONE,,,,,,,,,,,,,,,,,,
,**Разное стирка*,Cangilon SAMSUNG L169mm,NOT_FOUND,NONE,,,,,,,,,,,,,,,,,,
,**Ручки люка*,Tirador SAMSUNG oculto WW-90J-5410GW,NOT_FOUND,NONE,,,,,,,,,,,,,,,,,,
, Направление  СБТ,Bomba condesado ASPEN MINI ORANGE 12L/H,NOT_FOUND,NONE,,,,,,,,,,,,,,,,,,
,*VALUE,Manifold VALUE VMG2-B03 R-410A sin manguera,940532,,,,,,,,,,,,,,,,,,,
,*Шланги заправочные*,Kit 3 mangueras 150cm 800Psi R-22/12/134A/404 VALUE,NOT_FOUND,NONE,,,,,,,,,,,,,,,,,,
,"Фитинги медные, гайки","Curva de cobre 45° Ø5/8""",NOT_FOUND,NONE,,,,,,,,,,,,,,,,,,
,"Фитинги медные, гайки","Curva de cobre 45° Ø3/8""",NOT_FOUND,NONE,,,,,,,,,,,,,,,,,,
,**Насосы*,Bomba desagote 30W 3 trabas sincronico ASKOLL,NOT_FOUND,NONE,,,,,,,,,,,,,,,,,,
, ХОЛОД ПРОЧЕЕ,"Terminal pala hembra 6,3mm C15R",NOT_FOUND,Terminal pala hembra-TZH--------N*436---,,,,,,,,,,,,,,,,,,
,*Бытовая Серия,Motocompresor EMBRACO ERUE70HLP 1/5HP R-134a,575024,410204025,,,,,,,,,,,,,,,,,,
,*З/Ч К ПРОМ. ХОЛОД. ТЕХ.,"Valvula Rotalock rosca Ø1"" x 1/2""S",NOT_FOUND,NONE,,,,,,,,,,,,,,,,,,
,*З/Ч К ПРОМ. ХОЛОД. ТЕХ.,"Valvula Rotalock rosca Ø1"" x 3/8""S",NOT_FOUND,NONE,,,,,,,,,,,,,,,,,,
,**Подшипники*,Ruleman 6200 2RS 20x47x14mm,NOT_FOUND,NONE,,,,,,,,,,,,,,,,,,
,**УБЛ*,Blocapuerta ELECTROLUX TURCO,NOT_FOUND,NONE,,,,,,,,,,,,,,,,,,
,**ЗАПЧАСТИ для пылесосов,Cepillo aspiradora con cerda desmontable Ø32mm,NOT_FOUND,NONE,,,,,,,,,,,,,,,,,,
,**ЗАПЧАСТИ для кофемашин,Bomba cafetera 48W ULKA EP5,NOT_FOUND,NONE,,,,,,,,,,,,,,,,,,
,Флекс,Cinta de embajale transparente 48mm x 100m,NOT_FOUND,NONE,,,,,,,,,,,,,,,,,,
,**Разное стирка*,Pata lavarropa 10mm H20mm,NOT_FOUND,NONE,,,,,,,,,,,,,,,,,,
,ХОЛОДИЛЬНАЯ ТЕХНИКА,Rollo cortina frigorifico 200mm x 50m,404221,Rollo cortina Cristal 20cmx2mmx50mts-MT-,,,,,,,,,,,,,,,,,,
,*Коллекторы*,Manifold VALUE VMG-2 R410A  caja,NOT_FOUND,Caja Value vacia oferta variadas,,,,,,,,,,,,,,,,,,
,*Коллекторы*,Manifold R22/134a/404A/407C VALUE VMG 2,NOT_FOUND,NONE,,,,,,,,,,,,,,,,,,
, Направление  СБТ,Cinta metrica 16mm x 3m BULIT,NOT_FOUND,NONE,,,,,,,,,,,,,,,,,,
, Направление  СБТ,Destornillador buscapolo SICA 140mm,NOT_FOUND,NONE,,,,,,,,,,,,,,,,,,
,**ЗАПЧАСТИ для СВЧ,"Capacitor microondas 1,1mf 2,1 kV",NOT_FOUND,NONE,,,,,,,,,,,,,,,,,,
,*Трубогибы*,"Juego doblatubos interno 4m Ø1/4"" 3/8"" 1/2"" 5/8""",NOT_FOUND,NONE,,,,,,,,,,,,,,,,,,
, Направление  СБТ,Lubricante WD40 chico 155gr,NOT_FOUND,NONE,,,,,,,,,,,,,,,,,,
,*R-404*,Motocompresor EMBRACO NEU6210GK 1/2HP R-404A,575340,409602003,,,,,,,,,,,,,,,,,,
,*Предохранители*,"Fusible 5x20mm 3,0 A",NOT_FOUND,NONE,,,,,,,,,,,,,,,,,,
,*ТРУБОРЕЗЫ*,"Minicortadora CT-127 Ø1/8""-5/8"" BLUESTAR",NOT_FOUND,NONE,,,,,,,,,,,,,,,,,,
,**Фреон *,Refrigerante R-134a 950gr TORRINGTON,NOT_FOUND,NONE,,,,,,,,,,,,,,,,,,
,**Фреон *,Refrigerante R-410A 650gr TORRINGTON,NOT_FOUND,NONE,,,,,,,,,,,,,,,,,,
,**Фреон большие баллоны*,"Refrigerante R-417A 11,3kg TORRINGTON",NOT_FOUND,NONE,,,,,,,,,,,,,,,,,,
,**Фреон большие баллоны*,"Refrigerante R-22 13,62kg DUPONT",NOT_FOUND,NONE,,,,,,,,,,,,,,,,,,
,**Фреон большие баллоны*,"Refrigerante R-134a 13,62kg DUPONT",NOT_FOUND,NONE,,,,,,,,,,,,,,,,,,
,**Фреон большие баллоны*,"Refrigerante R-407C 11,35kg DUPONT",NOT_FOUND,NONE,,,,,,,,,,,,,,,,,,
,**Фреон большие баллоны*,"Refrigerante R-410A 11,35kg DUPONT",NOT_FOUND,NONE,,,,,,,,,,,,,,,,,,
,**Фреон большие баллоны*,Refrigerante R-410A 5kg DUPONT,NOT_FOUND,NONE,,,,,,,,,,,,,,,,,,
,**Фреон большие баллоны*,"Refrigerante R-134a 6,8kg NECTON",NOT_FOUND,NONE,,,,,,,,,,,,,,,,,,
,**Фреон большие баллоны*,"Refrigerante R-134A 3,4kg NECTON",NOT_FOUND,NONE,,,,,,,,,,,,,,,,,,
,**Фреон *,Refrigerante R-134a 900gr NECTON,NOT_FOUND,NONE,,,,,,,,,,,,,,,,,,
,**Фреон большие баллоны*,"Refrigerante R-404A 10,9kg NECTON",NOT_FOUND,NONE,,,,,,,,,,,,,,,,,,
,**Фреон большие баллоны*,"Refrigerante R-404A 5,4kg NECTON",NOT_FOUND,NONE,,,,,,,,,,,,,,,,,,
,**Фреон большие баллоны*,"Refrigerante R-404A 2,7kg NECTON",NOT_FOUND,NONE,,,,,,,,,,,,,,,,,,
,**Фреон *,Refrigerante R-404A 680gr NECTON,NOT_FOUND,NONE,,,,,,,,,,,,,,,,,,
,**Фреон большие баллоны*,"Refrigerante R-410A 5,6kg NECTON",NOT_FOUND,NONE,,,,,,,,,,,,,,,,,,
,**Фреон большие баллоны*,"Refrigerante R-22 6,8kg NECTON",NOT_FOUND,NONE,,,,,,,,,,,,,,,,,,
,**Фреон большие баллоны*,"Refrigerante R-22 3,4kg NECTON",NOT_FOUND,NONE,,,,,,,,,,,,,,,,,,
,**Фреон *,Refrigerante R-22 1kg NECTON,NOT_FOUND,NONE,,,,,,,,,,,,,,,,,,
,**Фреон большие баллоны*,Refrigerante R-32 3kg NECTON,NOT_FOUND,NONE,,,,,,,,,,,,,,,,,,
,**Фреон *,Refrigerante R-32 650gr NECTON,NOT_FOUND,NONE,,,,,,,,,,,,,,,,,,
,**Химические компоненты*,Agente de limpieza Cleaner 11 PRO 1L,757750,Agente de limpieza CLEANER 11-----1Lt---,,,,,,,,,,,,,,,,,,
,**Химические компоненты*,Agente de limpieza serpentina 1L,NOT_FOUND,NONE,,,,,,,,,,,,,,,,,,
,**Масло*,Aceite REFRIOIL 3GS (1L),NOT_FOUND,NONE,,,,,,,,,,,,,,,,,,
,**Масло*,Aceite REFRIOIL 4GS (1L),NOT_FOUND,NONE,,,,,,,,,,,,,,,,,,
,**Масло*,Aceite REFRIOIL 5GS (1L),NOT_FOUND,NONE,,,,,,,,,,,,,,,,,,
,**Масло*,"Aceite REFRIOIL 3GS (3,8L)",NOT_FOUND,NONE,,,,,,,,,,,,,,,,,,
,**Масло*,"Aceite REFRIOIL 4GS (3,8L)",NOT_FOUND,NONE,,,,,,,,,,,,,,,,,,
,**Масло*,"Aceite REFRIOIL 5GS (3,8L)",913647,"Aceite LR-POE32 3,78L ERRECOM=SUNISO 32-",,,,,,,,,,,,,,,,,,
,**Масло*,"Aceite bomba de vacio REFRIOIL (0,5L)",NOT_FOUND,NONE,,,,,,,,,,,,,,,,,,
,**Масло*,"Aceite REFRIOIL (0,5L) R-134a, 404A",NOT_FOUND,"Aceite LR-POE32 3,78L ERRECOM=SUNISO 32-",,,,,,,,,,,,,,,,,,
,**Масло*,"Aceite REFRIOIL (1L) R-134a, 404A",NOT_FOUND,NONE,,,,,,,,,,,,,,,,,,
,**Масло*,"Aceite REFRIOIL (0,5L) R-407C, 410A",NOT_FOUND,"Aceite LR-POE32 3,78L ERRECOM=SUNISO 32-",,,,,,,,,,,,,,,,,,
,**Масло*,"Aceite REFRIOIL R-32 (0,5L)",NOT_FOUND,"Aceite LR-POE32 3,78L ERRECOM=SUNISO 32-",,,,,,,,,,,,,,,,,,
,**Масло*,"Aceite REFRIOIL (0,5L) R-600",NOT_FOUND,NONE,,,,,,,,,,,,,,,,,,
,**Масло*,Aceite REFRIOIL PAG  32 (1L),NOT_FOUND,NONE,,,,,,,,,,,,,,,,,,
,**Масло*,Aceite REFRIOIL PAG  68 (1L),NOT_FOUND,NONE,,,,,,,,,,,,,,,,,,
,**Масло*,Aceite REFRIOIL PAG  46 (1L),NOT_FOUND,NONE,,,,,,,,,,,,,,,,,,
,**Масло*,Aceite REFRIOIL PAG 100 (1L) Extra Pesado,NOT_FOUND,NONE,,,,,,,,,,,,,,,,,,
,ХОЛОДИЛЬНАЯ ТЕХНИКА,Rollo cortina frigorifico 100mm x 50m,404220,Rollo cortina Cristal 10cmx2mmx50mts-MT-,,,,,,,,,,,,,,,,,,
,**Занавес,Cabezales de pitones para PVC 100mm x L2m,NOT_FOUND,NONE,,,,,,,,,,,,,,,,,,
,**Занавес,Cabezales de pitones para PVC 200mm x L2m,NOT_FOUND,NONE,,,,,,,,,,,,,,,,,,
,*Кронштейн для кондиционеров*,Mensula 420 Stampa eco epoxi,NOT_FOUND,Mensula p/techo inclinado 250X450X800---,,,,,,,,,,,,,,,,,,
,*Кронштейн для кондиционеров*,Mensula 520 soldada epoxi,NOT_FOUND,NONE,,,,,,,,,,,,,,,,,,
,*Кронштейн для кондиционеров*,Mensula 620 ref. epoxi,NOT_FOUND,NONE,,,,,,,,,,,,,,,,,,
,*Кронштейн для кондиционеров*,Mensula 720 refrozada epoxi,NOT_FOUND,NONE,,,,,,,,,,,,,,,,,,
,*Кронштейн для кондиционеров*,Mensula 820 Super-Force epoxi,NOT_FOUND,NONE,,,,,,,,,,,,,,,,,,
,*Кронштейн для кондиционеров*,Mensula caballete soldada epoxi,NOT_FOUND,NONE,,,,,,,,,,,,,,,,,,
,*Кабель для кондиционера*,"Cable tipo taller 2x2,5 IMI",782114,310110005,,,,,,,,,,,,,,,,,,
,*Кабель для кондиционера*,"Cable tipo taller 3x1,5 IMI",782100,310110004,,,,,,,,,,,,,,,,,,
,*Кабель для кондиционера*,"Cable tipo taller 4x1,5 IMI",782105,310110012,,,,,,,,,,,,,,,,,,
,*Кабель для кондиционера*,"Cable tipo taller 4x2,5 IMI",782106,310110021,,,,,,,,,,,,,,,,,,
,*Кабель для кондиционера*,"Cable tipo taller 5x1,5 IMI",782108,310110080,,,,,,,,,,,,,,,,,,
,*Кабель для кондиционера*,"Cable tipo taller 5x2,5 IMI",782109,310110081,,,,,,,,,,,,,,,,,,
,**ТЭН нагреватель*,Resistencia 20W 220V NUEVA PHILCO/AURORA/SIAM,NOT_FOUND,NONE,,,,,,,,,,,,,,,,,,
,**ТЭН нагреватель*,Resistencia 190W 220V WRE48 WHIRLPOOL,NOT_FOUND,NONE,,,,,,,,,,,,,,,,,,
,**ТЭН нагреватель*,Resistencia papel aluminio/canaleta 33W 220V DF44 ELECTROLUX,NOT_FOUND,NONE,,,,,,,,,,,,,,,,,,
,**ТЭН нагреватель*,Resistencia ARCO 410x70mm 400W 220V imp,NOT_FOUND,NONE,,,,,,,,,,,,,,,,,,
,**ТЭН нагреватель*,Resistencia ARCO 380x80mm 400W 220V imp,NOT_FOUND,NONE,,,,,,,,,,,,,,,,,,
,**ТЭН нагреватель*,Resistencia larga COVENTRY,NOT_FOUND,NONE,,,,,,,,,,,,,,,,,,
,**ТЭН нагреватель*,Resistencia 256W 220V MABE 450/GE 450,NOT_FOUND,NONE,,,,,,,,,,,,,,,,,,
,**ТЭН нагреватель*,Resistencia 260W 220V DF44 ELECTROLUX,NOT_FOUND,NONE,,,,,,,,,,,,,,,,,,
,**ТЭН нагреватель*,Resistencia 195W 220V ARB220 WHIRLPOOL,NOT_FOUND,NONE,,,,,,,,,,,,,,,,,,
,**ТЭН нагреватель*,Resistencia 190W 220V ARB210 WHIRLPOOL,NOT_FOUND,NONE,,,,,,,,,,,,,,,,,,
,**ТЭН нагреватель*,Resistencia 190W 220V ARB210 INVERTIDA WHIRLPOOL,NOT_FOUND,NONE,,,,,,,,,,,,,,,,,,
,ХОЛОДИЛЬНАЯ ТЕХНИКА,Filtro cobre sin chicote 10gr FV,116200,620212010,,,W13006,,,,,,,,,,,,,,,
,ХОЛОДИЛЬНАЯ ТЕХНИКА,Filtro cobre sin chicote 15gr FV,116201,620212011,,,W13009,,,,,,,,,,,,,,,
,ХОЛОДИЛЬНАЯ ТЕХНИКА,Filtro cobre sin chicote 30gr FV,NOT_FOUND,NONE,,,W13012,,,,,,,,,,,,,,,
,ХОЛОДИЛЬНАЯ ТЕХНИКА,Filtro cobre con chicote 10gr FV,491208,620212001,,,W28023-B,,,,,,,,,,,,,,,
,ХОЛОДИЛЬНАЯ ТЕХНИКА,Filtro cobre con chicote 15gr FV,491210,620212002,,,W28024-B,,,,,,,,,,,,,,,
,ХОЛОДИЛЬНАЯ ТЕХНИКА,Filtro cobre con chicote 20gr FV,491212,620212004,,,W28025-B ,,,,,,,,,,,,,,,
,*Термостаты  бытовые*,Termostato RFR-4070 FV,490061,683040002,,,YFR4070-2S,,,,,,,,,,,,,,,
,"Фитинги медные, гайки","Union T manguera Ø5/8""",NOT_FOUND,NONE,,,,,,,,,,,,,,,,,,
,**КОМПРЕССОРА*,Motocompresor DONPER K325CZ1 1/3HP R-134a,NOT_FOUND,NONE,,,410802014,,,,,,,,,,,,,,,
,**КОМПРЕССОРА*,Motocompresor DONPER L68CU1 1/3HP R-290,NOT_FOUND,NONE,,,,,,,,,,,,,,,,,,
,**КОМПРЕССОРА*,Motocompresor DONPER L68CU1 1/3HP R-290,NOT_FOUND,NONE,,,,,,,,,,,,,,,,,,
,БЫТОВАЯ ТЕХНИКА,Kit tarugo hueco 10mm,NOT_FOUND,NONE,,,,,,,,,,,,,,,,,,
,*З/Ч К СПЛИТ-СИСТЕМАМ,Taco piso 4 und,NOT_FOUND,NONE,,,,,,,,,,,,,,,,,,
,Флекс,Cinta split sin adhesivo FIJAMOM,NOT_FOUND,NONE,,,,,,,,,,,,,,,,,,
,*Шланги спиральные*,"Union Y manguera Ø5/8""",NOT_FOUND,NONE,,,,,,,,,,,,,,,,,,
,*Шланги спиральные*,"Union recta manguera Ø5/8""",NOT_FOUND,NONE,,,,,,,,,,,,,,,,,,
,*Шланги спиральные*,Codo plastico 90° split blanco,NOT_FOUND,Codo Drenaje 42009-000029 (TA8-32),,,,,,,,,,,,,,,,,,
,*З/Ч К СПЛИТ-СИСТЕМАМ,Pico desagote universal split,NOT_FOUND,NONE,,,,,,,,,,,,,,,,,,
,**Электронные блоки*,Controlador digital ETC200+,NOT_FOUND,NONE,,,,,,,,,,,,,,,,,,
,**КОМПРЕССОРА*,Motocompresor HUAYI 1/3HP R-134a,NOT_FOUND,NONE,,,,,,,,,,,,,,,,,,
