Unnamed: 0,Категория товара,Наименование,Ansal код,Ansal название,Цена Ansal Оптовая,Цена Ansal Розничная,Reld код,Reld название,Цена Reld Оптовая,Цена Reld Розничная,Bellini код,Bellini название,Цена Bellini Оптовая,Цена Bellini Розничная,Uriarte код,Uriarte название,Цена Uriarte Оптовая,Цена Uriarte Розничная,Fijamom код ,Fijamom название,Fijamom Цена Fijamom Оптовая,Цена Fijamom Розничная
,*Шланги заправочные*,Kit 3 mangueras 90cm R-410 GENERICA,NOT_FOUND,NONE,,,,,,,,,,,,,,,,,,
,*Шланги заправочные*,Kit 3 mangueras 150cm R-410 GENERICA,NOT_FOUND,NONE,,,,,,,,,,,,,,,,,,
,*Шланги заправочные*,Kit 3 mangueras 180cm 800Psi R-410 DSZH,NOT_FOUND,NONE,,,,,,,,,,,,,,,,,,
,*R-404*,"Motocompresor EMBRACO NJ9238GK 1,5HP R-404A",575346, Mot.EMBRACO-1.5-M404-NJ9238GK-mon-c/llav ,,,,,,,,,,,,,,,,,,
,*R-404*,Motocompresor EMBRACO NT6222GK 1HP R-404A,575344,Mot.EMBRACO-1HP-M404-NT6222GK-mono.Sold-,,,,,,,,,,,,,,,,,,
,*Конденсаторы электрические,Capacitor CBB61 3MF 450V cuadrado,917074,CA-BB61-3-440,,,,,,,,,,,,,,,,,,
,**Масло*,"Aceite SUNISO 3GS (3,78L) (150sus) Euro",913647,"Aceite LR-POE32 3,78L ERRECOM=SUNISO 32-",,,,,,,,,,,,,,,,,,
,**Масло*,Aceite SUNISO SL-POE   32 (1L),913647,"Aceite LR-POE32 3,78L ERRECOM=SUNISO 32-",,,,,,,,,,,,,,,,,,
,*Вентиль кондиционера*,"Valvula split Ø1/4"" R-22",140510,Valvula de acceso SPLIT 1/4F-AV-1A-FC602,,,,,,,,,,,,,,,,,,
,*Вентиль кондиционера*,"Valvula split Ø3/8"" R-22",NOT_FOUND,NONE,,,,,,,,,,,,,,,,,,
,*Вентиль кондиционера*,"Valvula split Ø1/2"" R-22",NOT_FOUND,NONE,,,,,,,,,,,,,,,,,,
,*Вентиль кондиционера*,"Valvula split Ø5/8"" R-22",NOT_FOUND,NONE,,,,,,,,,,,,,,,,,,
,*Вентиль кондиционера*,"Valvula split Ø3/4"" R-22",NOT_FOUND,NONE,,,,,,,,,,,,,,,,,,
,*Пульты*,Control remoto universal KT-508II,946220,Ctrol.remoto univ.KT508II-508cd-BlueStar,,,,,,,,,,,,,,,,,,
,*Пульты*,Plaqueta universal con control remoto QD-U11A,946226,Sist.ctrol univ.QD-U11A-Pso/Techo-TH1/2-,,,,,,,,,,,,,,,,,,
,"*Кнопки,выключатели*",Interruptor gris 2 cont 3A  WHIRLPOOL,NOT_FOUND,Interruptor BlueStar SWITCH-1-----------,,,,,,,,,,,,,,,,,,
,"*Кнопки,выключатели*","Interruptor heladera 4 cont 0,8A  ELECTROLUX SAMSUNG",NOT_FOUND,NONE,,,,,,,,,,,,,,,,,,
,*Предохранители*,Bimetal SKSD 2003 -5/+12ºC  NoFrost,NOT_FOUND,NONE,,,,,,,,,,,,,,,,,,
,*Реле*,Rele PTC 4 contactos universal,NOT_FOUND,NONE,,,,,,,,,,,,,,,,,,
,*Реле*,Protector termico 1/4 ceramico,207519,Protector DICOM 59L36-T7711--1/4-S-G-F--,,,,,,,,,,,,,,,,,,
,*Реле*,Protector termico 1/3 redondo LT,NOT_FOUND,NONE,,,,,,,,,,,,,,,,,,
,Труба медная,"Tira cobre Ø1 1/8"" x 1mm 5m",NOT_FOUND,NONE,,,,,,,,,,,,,,,,,,
