code,title,price
YFQ-F00101-002,"Separador de Aceite 1/2"" Soldable Sanhua",127235
SYJ06L01,"Visor de Líquido 1/4"" Roscable - Sanhua",19120
SYJ10H01,"Visor de Líquido 3/8"" Soldable - Sanhua",21481
SYJ12H01,"Visor de Líquido 1/2"" Soldable - Sanhua",28394
SYJ16H01,"Visor de Líquido 5/8"" Soldable - Sanhua",29857
MQ-A0322G-000001,Bobina para Válvula Solenoide 220-240V IP67 Sanhua,27582
MQ-D03024-000002,Bobina para Válvula Solenoide 24V Sanhua,30256
SYJ10L01,"Visor de Líquido 3/8"" Roscable - Sanhua",26034
SYJ12L01,"Visor de Líquido  1/2"" Roscable - Sanhua",29800
SYJ16L01,"Visor de Líquido 5/8"" Roscable - Sanhua",31457
MDF-A03-2H002,"Válvula Solenoide 1/4"" 220V Soldable - Sanhua",38620
MDF-A03-2L002,"Válvula Solenoide 1/4"" 220V Rosca - Sanhua",37624
SBV(M)-JA5YHSY-1-SA,"Válvula de Bola 5/8"" (16mm) Soldable Sanhua",35418
SBV(M)-JA6YHSY-1-SA,"Válvula de Bola 3/4"" Soldable Sanhua",47049
SBV(M)-JA7YSHY-1-SA,"Válvula de Bola 7/8"" (22mm) Soldable Sanhua",50546
YFQ-F00101-003,"Separador de Aceite 5/8"" Soldable Sanhua",128777
YFQ-F00101-004,"Separador de Aceite 7/8"" Soldable Sanhua",144681
YFQ-F00101-005,"Separador de Aceite 1-1/8"" Soldable Sanhua",162953
SQ-A2522G-000870,Bobina para Válvula Inversora (220V-240V) Sanhua,9250
MDF-A03-3H004,"Válvula Solenoide 3/8"" 220V Soldable - Sanhua",42055
YCVS20-77GSHC-1,"Válvula de Retención Tipo Pistón 7/8""-22mm Angular Sanhua",53737
YCVS26-99GSHC-1,"Válvula de Retención Tipo Pistón 1-1/8"" Angular Sanhua",119911
YCVS31-BBGSHC-1,"Válvula de Retención Tipo Pistón 1-3/8""-35mm Angular Sanhua",137301
YCVS31-DDGSHC-1,"Válvula de Retención Tipo Pistón 1-5/8"" Angular Sanhua",157013
YCVSH20-77GSHC-1,"Válvula de Retención Tipo Pistón 7/8"" Angular - Resorte Reforzado Sanhua",53737
YCVSH26-99GSHC-1,"Válvula de Retención Tipo Pistón 1-1/8"" Angular Sanhua- Resorte Reforzado",119911
YCVSH31-BBGSHC-1,"Válvula de Retención Tipo Pistón 1-3/8""-35mm Angular Sanhua- Resorte Reforzado",137301
YCVSH31-DDGSHC-1,"Válvula de Retención Tipo Pistón 1-5/8"" Angular - Resorte Reforzado Sanhua",157167
YCVS3H01,"Válvula de Retención Tipo Pistón 3/8"" Lineal Sanhua",17173
YCVS4H01,"Válvula de Retención Tipo Pistón 1/2"" Lineal Sanhua",13366
YCVS5H03,"Válvula de Retención Tipo Pistón 5/8"" - 16mm Lineal Sanhua",33228
YCVS6H03,"Válvula de Retención Tipo Pistón 3/4"" Lineal Sanhua",39681
YCVS7H03,"Válvula de Retención Tipo Pistón 7/8"" - 22mm Lineal Sanhua",48597
YCVSH3H01,"Válvula de Retención Tipo Pistón 3/8"" Lineal Sanhua- Resorte Reforzado",10733
YCVSH4H01,"Válvula de Retención Tipo Pistón 1/2"" Lineal Sanhua- Resorte Reforzado",21386
YCVSH5H03,"Válvula de Retención Tipo Pistón 5/8"" - 16mm Lineal - Resorte Reforzado Sanhua",21221
YCVSH6H03,"Válvula de Retención Tipo Pistón 3/4"" Lineal Sanhua- Resorte Reforzado",39681
YCVSH7H03,"Válvula de Retención Tipo Pistón 7/8"" - 22mm Lineal Sanhua- Resorte Reforzado",41352
PSV01AL-S01,Presostato Simple de Baja Presión (Reset Automático) Sanhua,59572
PSV15AAL-S51,Presostato Dual (Alta y Baja) - Reset Automático Sanhua,88487
PSV50AL-S51,Presostato Simple de Alta Presión (Reset Automático) Sanhua,63447
